,A,B,t,p
0,"(1000, 2)","(1000, 3)",-1.063405773824101,0.3990073743874334
1,"(1000, 2)","(600, 3)",-2.021147564543154,0.1806557807957852
2,"(1000, 2)","(600, 4)",-2.6020363326107296,0.1213844697811582
3,"(1000, 2)","(600, 5)",-0.8182870796515384,0.4991783370690517
4,"(1000, 3)","(600, 3)",0.5022681479582572,0.6653235958650525
5,"(1000, 3)","(600, 4)",0.3057983632387806,0.7886523793167551
6,"(1000, 3)","(600, 5)",0.8261466621940177,0.4955875408291497
7,"(600, 3)","(600, 4)",-1.9628326084459324,0.18865662751889253
8,"(600, 3)","(600, 5)",2.0546152889039124,0.17626993422747508
9,"(600, 4)","(600, 5)",2.987197146696818,0.09617151403036742
